,repo,starCount,User,Contribs
244,243,14932.0,paulirish,1445
73,53,9423.0,paulmillr,3433
123,46,15953.0,pedrovgs,2481
22,189,28820.0,phodal,6272
47,82,668.0,pippinsplugins,4181
136,152,4343.0,pkrumins,2350
169,138,26148.0,prakhar1989,1973
196,882,6516.0,purcell,1735
56,73,3574.0,radar,3975
72,134,779.0,rafaelfranca,3508
237,43,17228.0,rasbt,1481
98,97,11686.0,rauchg,2869
188,127,2927.0,rdegges,1805
77,193,25391.0,remy,3351
3,185,2426.0,rkh,8413
242,235,1495.0,robdodson,1465
48,158,2933.0,robrix,4161
6,441,39011.0,rstacruz,7981
152,745,23729.0,rwaldron,2230
102,181,35252.0,sahat,2830
202,356,6308.0,samccone,1705
140,118,3565.0,samdark,2315
200,25,4967.0,samuelclay,1712
145,20,1597.0,schwa,2308
235,48,13488.0,sebastianbergmann,1515
167,176,16279.0,sferik,2012
189,117,6625.0,shiffman,1797
161,64,1124.0,simurai,2100
88,145,18858.0,soffes,3058
116,134,7511.0,soumith,2556
93,66,3026.0,soyjavi,2964
67,154,1241.0,springmeyer,3631
105,133,9045.0,staltz,2797
66,520,7915.0,stefanpenner,3655
12,42,16300.0,steipete,7129
42,763,4132.0,steveklabnik,4452
215,406,1086.0,stof,1621
84,922,62352.0,substack,3160
64,581,2014.0,suissa,3677
203,11,64.0,swankjesse,1695
159,137,7343.0,swannodette,2123
21,1,3.0,taylorotwell,6289
94,165,7484.0,technoweenie,2957
211,18,370.0,tekkub,1652
174,469,30621.0,thejameskyle,1961
146,136,5628.0,thomasdavis,2290
251,269,84332.0,tj,1408
18,135,4282.0,tmcw,6613
7,196,8503.0,tmm1,7799
243,74,44511.0,toddmotto,1454
144,730,3963.0,tokuhirom,2309
118,26,1080.0,tomchristie,2526
149,4,50367.0,torvalds,2259
160,17,1396.0,tqchen,2106
190,113,7090.0,tylermcginnis,1797
250,139,7272.0,una,1411
166,115,1550.0,vhf,2014
71,406,8057.0,vladikoff,3518
248,47,10847.0,walkor,1433
208,37,6489.0,wbond,1666
229,137,11139.0,weavejester,1544
132,146,287.0,weaverryan,2402
233,62,1574.0,webmozart,1516
2,228,849.0,weierophinney,9946
90,65,3915.0,willdurand,3032
210,97,6161.0,willianjusten,1657
108,85,4268.0,yihui,2725
87,55,1900.0,yiminghe,3074
33,133,4735.0,yyx990803,5273
46,28,2110.0,zcbenz,4222
75,102,33094.0,zenorocha,3390
114,128,1134.0,zilongshanren,2613
249,114,1197.0,zpao,1429
